,ratio,rndint,dataset,mape_test,r2_test,mape_interpolation,r2_interpolation
221,0.2,297.0,Sobol1,0.0054415246369881,0.9973611859647818,0.0157035578456215,0.9461232284081298
222,0.25,562.0,Sobol1,0.0054462146846922,0.9976076457999332,0.0153064363646203,0.9486648345369236
223,0.05,554.0,Sobol2,0.005448387348786,0.9967228450276876,0.0137122316928313,0.959325260768763
224,0.1,968.0,Sobol1,0.0054491498487137,0.9965638749053988,0.0159739551001375,0.9430694950945744
225,0.15,16.0,Sobol1,0.0054509885913242,0.9973041442840692,0.0157616503613321,0.9406816277168614
226,0.05,816.0,Sobol1,0.0054550101748137,0.9977375295086504,0.0179333407662218,0.9251278522728164
227,0.25,222.0,Sobol1,0.005457393769992,0.9975452866233738,0.0150491054600101,0.951603976126396
228,0.05,395.0,Sobol1,0.005457513667823,0.9977958490251404,0.0159710746811724,0.942248024841673
229,0.25,562.0,Sobol1,0.0054671689435896,0.997442724222633,0.0159509471466636,0.9428208629454476
230,0.25,510.0,Sobol1,0.0054690147808003,0.997419281758971,0.0159931833537423,0.94531994855991
231,0.2,530.0,Sobol1,0.0054723921061305,0.997705753105942,0.0151228088089686,0.9523034586830956
232,0.2,297.0,Sobol1,0.0054737057250353,0.9980972518544468,0.0150002330251649,0.953414508475842
233,0.05,877.0,Sobol2,0.0054741497299551,0.9978309828518148,0.0135233476910675,0.961223871290695
234,0.15,711.0,Sobol1,0.0054752808471327,0.9967941755357284,0.0158546448753628,0.9409912664053728
235,0.15,996.0,Sobol1,0.0054775726984769,0.99792062881295,0.0155957316486068,0.9444294229189172
236,0.15,669.0,Sobol1,0.0054808229363483,0.9974380743272848,0.0185905090487224,0.9195460189884695
237,0.05,588.0,Sobol1,0.0054813150701065,0.998340482470517,0.0154505728751067,0.950158940528116
238,0.05,759.0,Sobol1,0.0054821995591792,0.9983417699734584,0.0154697828040179,0.9502510941476102
239,0.2,180.0,Sobol1,0.0054839524367238,0.995935877504237,0.0152538633818044,0.9502753048805826
240,0.2,968.0,Sobol1,0.0054855229755737,0.9971658058099496,0.0151554452826752,0.9522897640762678
241,0.05,928.0,Sobol1,0.0054856005274214,0.9983372366426952,0.0179148068681981,0.9242198505312236
242,0.1,996.0,Sobol1,0.0054869496780341,0.9983259499021055,0.0152954490891386,0.9514362622753622
243,0.05,678.0,Sobol1,0.0054892802451352,0.998245603808916,0.0225739635251298,0.8643323888922629
244,0.2,928.0,Sobol1,0.0054894224360726,0.9974443302386778,0.0158251004538557,0.946169938213574
245,0.15,222.0,Sobol1,0.0054899695854189,0.996451234034256,0.0155970602623293,0.945711269475796
246,0.15,530.0,Sobol1,0.0054903827978777,0.996559458220954,0.0155042582095703,0.9473309365842708
247,0.1,561.0,Sobol1,0.0054925306054882,0.9986754928538027,0.0153343225383738,0.9517794597019889
248,0.15,725.0,Sobol1,0.0054978218288116,0.9958165301691484,0.0149964838066355,0.9505139476555908
249,0.2,996.0,Sobol1,0.005497858214945,0.9980931962382776,0.0149836998330762,0.953845765380504
250,0.1,75.0,Sobol1,0.0055028000176104,0.996752786075249,0.0162559093483561,0.9367718058685314
251,0.2,928.0,Sobol1,0.0055037109206816,0.997512292699016,0.0152376113119632,0.9516333529561724
252,0.1,75.0,Sobol1,0.005504052883446,0.9971817175223276,0.0157807858323008,0.944459689534674
253,0.05,561.0,Sobol1,0.0055051802404889,0.9985362344392535,0.0154644174930637,0.9503916271592106
254,0.3,180.0,Sobol1,0.0055079324981613,0.9960771525603218,0.0157094324660491,0.9450150414951876
255,0.3,510.0,Sobol1,0.005509394097406,0.9974097708654888,0.0159706279335788,0.9460654721953808
256,0.25,928.0,Sobol1,0.0055095105594821,0.9972775702517168,0.0155879473479292,0.9486863940920444
257,0.2,16.0,Sobol1,0.0055174232574323,0.9972761710953888,0.0158712011948805,0.940975651823856
258,0.15,390.0,Sobol1,0.0055200691438556,0.9973120196257022,0.0157971231378561,0.9438431217937024
259,0.15,294.0,Sobol1,0.0055224136594304,0.9971744381785604,0.015088740361909,0.9524739180560632
260,0.15,75.0,Sobol1,0.005526227881254,0.9975391354115648,0.0160842109931894,0.9375495925052052
261,0.2,791.0,Sobol1,0.0055282515262411,0.9972718125429982,0.0156897761374234,0.9472407949228744
262,0.2,791.0,Sobol1,0.0055413259262321,0.9963528014357226,0.0160247281192633,0.9418144619409012
263,0.25,180.0,Sobol1,0.0055429966835545,0.996528118334308,0.0149290777419834,0.9538555754195304
264,0.25,996.0,Sobol1,0.0055433317725237,0.9974806050432112,0.0150759177887703,0.948551325343464
265,0.3,562.0,Sobol1,0.005550944888496,0.9974616513803304,0.0152114603692207,0.9494624306606386
266,0.2,816.0,Sobol1,0.005551479832896,0.9961972581242003,0.0152684667481159,0.9493879863864236
